Temature,mean_wavelength_1,mean_wavelength_2
15,1544.9321678286535,1549.6721388495353
25,1545.0692953437851,1549.8689694285445
35,1545.2239049175291,1550.0299142204253
45,1545.402079797593,1550.186352713212
55,1545.5814533044352,1550.322724431009
65,1545.7552959717898,1550.4039531958763
75,1545.8117135413797,1550.5927141813415
85,1545.9531992495586,1550.7187471185055
