Image,Mean_X,Image_Midpoint_X
original37_lower_half.jpeg,268.54545454545456,320
original38_lower_half.jpeg,214.27272727272728,320
original39_lower_half.jpeg,231.1818181818182,320
original3_lower_half.jpeg,261.90909090909093,320
original40_lower_half.jpeg,252.36363636363637,320
original41_lower_half.jpeg,266.1818181818182,320
original42_lower_half.jpeg,302.09090909090907,320
original43_lower_half.jpeg,299.1818181818182,320
original44_lower_half.jpeg,277.45454545454544,320
original45_lower_half.jpeg,293.1818181818182,320
original46_lower_half.jpeg,292.09090909090907,320
original47_lower_half.jpeg,386.90909090909093,320
original48_lower_half.jpeg,387.54545454545456,320
original49_lower_half.jpeg,345.8181818181818,320
original4_lower_half.jpeg,384.54545454545456,320
original5_lower_half.jpeg,335.1818181818182,320
original6_lower_half.jpeg,344.8181818181818,320
original7_lower_half.jpeg,400.45454545454544,320
original8_lower_half.jpeg,277.6363636363636,320
original9_lower_half.jpeg,387.54545454545456,320
